perturbagen	down-imputed	down-measured	up-imputed	up-measured
1017	51	65	30	36
1018	2	4	0	1
1019	183	69	42	39
1020	3	22	1	7
1021	15	60	17	40
1022	5	20	0	0
1024	19	41	13	20
1025	6	15	1	13
1026	333	97	314	76
1027	8	25	5	10
1028	5	18	6	9
1029	2	8	1	5
1030	1	11	3	2
1031	9	9	0	4
1036	6	22	6	25
1044	2	15	9	9
1045	0	18	0	1
1050	16	32	1	6
1051	7	7	1	1
1052	24	48	18	25
1054	43	46	33	30
1062	71	70	22	72
1066	0	17	2	6
1069	1	17	1	8
1070	9	20	6	8
1072	1	16	3	23
1080	15	28	10	12
1105	8	18	4	10
1108	10	26	3	7
1111	41	49	14	44
1112	11	12	6	4
1119	20	50	4	11
1120	8	27	3	12
1123	26	47	80	29
1128	3	10	2	5
1131	5	5	0	2
1147	2	6	1	1
1152	6	10	3	2
1153	14	35	12	10
1154	30	51	37	32
1155	4	22	2	9
1158	0	1	0	0
1159	1	16	1	3
1160	1	4	0	5
1163	6	24	6	5
1164	3	3	0	3
1173	4	10	2	18
1182	35	53	31	39
1184	22	35	5	15
1195	5	22	5	16
1196	5	14	3	4
1198	5	21	6	4
1201	4	12	7	4
1209	1	11	1	2
1211	1	8	2	2
1212	107	52	59	33
1213	1	7	2	6
1244	9	23	2	11
1263	6	8	0	7
1284	7	17	1	4
1287	42	45	18	32
1305	5	15	5	3
1312	6	25	4	10
1314	29	44	70	46
1316	6	10	2	4
1326	53	73	24	27
1327	3	16	1	3
1329	9	26	4	6
1345	0	8	4	1
1349	1	11	0	1
1356	0	4	1	5
1362	3	16	4	7
1363	45	45	4	21
1373	0	1	0	0
1374	1	8	3	5
1376	4	11	4	5
1381	1	13	4	10
1382	7	15	5	6
1384	2	15	1	3
1385	25	36	28	23
1386	2	7	0	2
1387	9	12	1	6
1389	29	52	58	39
1390	3	3	1	4
1398	4	13	1	4
1399	346	146	228	134
1407	4	2	2	3
1409	4	11	5	7
1429	10	27	3	4
1431	2	14	0	2
1432	26	39	15	29
1436	1	12	1	1
1440	8	20	6	8
1445	103	77	59	51
1452	22	48	11	14
1453	1	17	0	1
1454	293	128	122	148
1455	14	42	4	22
1456	29	59	26	47
1457	0	6	1	1
1459	10	23	4	8
1460	3	6	3	16
1462	3	11	2	3
1465	4	22	4	16
1468	5	19	2	14
1482	7	30	2	10
1487	4	16	1	5
1488	2	11	2	7
1490	3	14	3	5
1491	6	22	4	6
1493	10	13	5	9
1495	4	12	2	7
1497	3	20	3	6
1499	32	48	30	32
1500	4	14	3	14
1503	14	31	3	12
1504	68	57	94	39
1508	1	18	2	12
1509	12	17	6	5
1512	1	11	4	7
1513	63	86	69	61
1514	287	126	279	141
1515	1	14	1	8
1525	23	54	9	11
1528	14	42	6	10
1534	3	15	2	9
1537	2	10	0	4
1540	0	1	2	0
1543	11	26	11	11
1545	1	7	0	2
1577	5	14	2	5
1591	1	7	2	4
1594	6	9	1	8
1595	25	52	20	16
1604	0	4	1	3
1605	2	6	4	6
1606	6	11	4	5
1607	0	7	2	2
1608	1	1	0	2
1609	0	3	0	2
1611	16	27	7	11
1612	10	20	6	5
1613	28	53	25	37
1615	5	30	1	10
1616	21	41	7	14
1622	4	5	2	1
1632	2	12	7	9
1633	14	15	2	9
1635	3	11	2	2
1642	8	28	4	9
1643	96	78	58	47
1644	2	9	1	13
1645	14	23	4	18
1646	28	30	11	11
1647	3	17	5	6
1649	5	29	3	10
1650	3	10	3	6
1655	14	25	8	9
1659	4	12	16	14
1662	26	38	1	9
1666	49	46	38	34
1675	6	17	7	9
1676	2	8	6	4
1677	12	17	2	10
1716	1	1	0	0
1717	19	46	37	33
1718	7	23	5	12
1719	4	21	1	10
1725	12	24	12	18
1727	1	13	1	0
1728	96	64	62	47
1736	4	12	6	6
1737	5	8	3	8
1738	76	33	52	22
1739	0	0	0	2
1740	0	1	0	2
1741	0	2	0	1
1746	12	26	8	14
1747	11	31	12	22
1756	7	15	5	15
1759	12	23	2	9
1760	0	4	2	0
1763	5	10	4	14
1786	49	89	25	29
1788	3	20	2	4
1802	8	12	3	2
1803	3	11	5	6
1806	0	11	3	6
1810	6	20	3	10
1820	4	16	2	5
1821	0	2	0	0
1827	1	6	1	2
1829	4	25	4	8
1831	9	27	8	26
1837	57	70	29	48
1840	19	28	9	14
1841	1	19	0	3
1843	9	14	6	5
1844	2	4	1	2
1845	12	26	5	19
1848	2	14	3	3
1849	5	10	3	5
1852	4	12	2	6
1854	33	42	58	34
1855	5	11	4	4
1856	55	58	35	15
1857	2	13	4	7
1859	13	16	12	11
1861	5	13	3	11
1869	24	43	13	25
1871	2	17	2	0
1874	1	16	1	4
1875	48	60	28	35
1876	1	7	1	7
1879	0	5	4	6
1880	0	0	0	2
1891	9	14	1	7
1892	6	9	3	3
1902	4	11	4	3
1903	1	9	0	0
1906	11	35	8	19
1910	2	10	2	4
1936	1	16	2	0
1948	3	13	4	8
1949	12	39	10	12
1950	4	13	4	4
