perturbagen	down-imputed	down-measured	up-imputed	up-measured
BRD-A09467419	2	0	1	0
BRD-A09472452	2	5	1	7
BRD-A09495397	1	1	0	0
BRD-A09533288	0	1	1	5
BRD-A09539288	2	3	1	6
BRD-A09719808	31	96	60	64
BRD-A09722536	0	11	0	0
BRD-A09749088	0	4	0	3
BRD-A09828896	0	5	0	8
BRD-A09925278	0	2	0	1
BRD-A09984573	7	20	7	12
BRD-A10070317	0	3	0	1
BRD-A10188456	2	5	1	16
BRD-A10303790	0	0	0	2
BRD-A10330754	0	18	2	13
BRD-A10355991	0	1	0	1
BRD-A10386413	1	5	0	0
BRD-A10420615	1	40	45	57
BRD-A10523515	14	49	7	8
BRD-A10606614	0	7	0	7
BRD-A10662413	0	10	1	5
BRD-A10715913	53	77	12	58
BRD-A10903566	65	120	135	109
BRD-A10969569	0	1	0	2
BRD-A10977446	0	2	0	2
BRD-A11007541	93	123	148	98
BRD-A11009626	13	40	5	28
BRD-A11087911	2	44	7	30
BRD-A11095214	0	1	0	1
BRD-A11132253	3	4	1	2
BRD-A11263757	15	65	59	53
BRD-A11483079	2	5	0	4
BRD-A11512624	2	9	0	9
BRD-A11605036	259	156	392	161
BRD-A11609859	0	0	1	2
BRD-A11678676	219	128	124	79
BRD-A11702965	542	152	458	204
BRD-A11706664	2	10	0	17
BRD-A11731846	1	8	0	9
BRD-A11776908	0	6	0	1
BRD-A11813248	0	1	0	3
BRD-A11929187	0	1	0	0
BRD-A11968133	0	0	0	2
BRD-A11990600	1	0	0	0
BRD-A12083771	0	4	1	2
BRD-A12230535	31	57	5	57
BRD-A12409803	4	14	2	9
BRD-A12633378	1	1	0	1
BRD-A13020530	7	43	5	41
BRD-A13084692	18	85	32	83
BRD-A13122391	550	291	450	433
BRD-A13133631	2	15	2	17
BRD-A13188892	0	0	0	1
BRD-A13195221	0	1	0	2
BRD-A13346522	0	0	1	1
BRD-A13367427	1	4	2	1
BRD-A13461302	0	0	2	1
BRD-A13650332	4	0	0	1
BRD-A13711138	0	1	1	2
BRD-A13807286	1	1	0	2
BRD-A13914662	1	0	0	1
BRD-A13946108	0	0	0	1
BRD-A13964793	0	10	0	6
BRD-A13982089	3	6	0	3
BRD-A14014306	53	78	35	67
BRD-A14178283	0	3	0	6
BRD-A14240607	0	2	0	2
BRD-A14395271	0	8	0	2
BRD-A14566392	0	0	1	1
BRD-A14574269	0	13	0	9
BRD-A14652656	1	4	0	3
BRD-A14792000	1	2	1	3
BRD-A14795281	1	0	0	1
BRD-A14798026	0	4	0	2
BRD-A14966924	1	13	2	5
BRD-A14969012	0	1	0	0
BRD-A14985772	0	1	1	5
BRD-A15010982	13	37	14	34
BRD-A15034104	0	4	1	1
BRD-A15079084	575	323	425	209
BRD-A15100685	616	239	384	256
BRD-A15113563	1	4	2	15
BRD-A15131297	1	0	0	0
BRD-A15297126	2	10	2	20
BRD-A15415227	1	2	0	2
BRD-A15435692	0	0	0	1
BRD-A15493168	1	0	1	0
BRD-A15501135	1	1	0	0
BRD-A15530910	0	1	6	9
BRD-A15597386	1	5	2	5
BRD-A15909516	1	5	3	4
BRD-A15914070	1	4	0	9
BRD-A15931911	0	3	0	4
BRD-A16311756	2	9	2	13
BRD-A16332958	4	2	2	2
BRD-A16444946	5	1	0	4
BRD-A16478930	7	4	0	3
BRD-A16581344	6	32	1	3
BRD-A16665823	0	1	0	2
BRD-A16694057	0	2	0	0
BRD-A16700644	0	2	0	2
BRD-A16746338	1	6	2	0
BRD-A16754160	6	3	3	3
BRD-A16820783	1	19	0	15
BRD-A16934955	1	33	3	9
BRD-A16998493	38	87	5	66
BRD-A17016119	1	1	0	2
BRD-A17065207	254	243	746	217
BRD-A17081056	1	0	1	1
BRD-A17390249	5	8	5	2
BRD-A17411484	3	2	0	2
BRD-A17428743	0	1	0	0
BRD-A17448384	0	7	1	11
BRD-A17453586	0	4	0	3
BRD-A17462676	0	2	1	0
BRD-A17535965	4	12	1	13
BRD-A17555397	3	15	3	12
BRD-A17664363	1	6	0	3
BRD-A17718497	0	4	0	3
BRD-A17745711	3	6	2	6
BRD-A17819071	0	0	1	4
BRD-A17828570	4	13	1	4
BRD-A17883755	1	2	0	4
BRD-A18043272	0	4	0	4
BRD-A18202423	0	4	0	2
BRD-A18279961	0	4	0	3
BRD-A18411371	81	118	83	73
BRD-A18419789	133	94	80	74
BRD-A18497530	550	195	450	274
BRD-A18579359	0	4	11	20
BRD-A18605525	1	10	0	7
BRD-A18620900	0	3	0	1
BRD-A18696154	1	4	0	2
BRD-A18725729	127	157	93	87
BRD-A18763547	277	173	158	107
BRD-A18795974	1	7	1	2
BRD-A18917088	0	7	0	2
BRD-A18929998	2	5	0	8
BRD-A18932057	0	2	0	2
BRD-A19037878	489	433	511	452
BRD-A19134330	9	29	14	31
BRD-A19195498	0	1	5	12
BRD-A19248578	59	68	12	35
BRD-A19374631	0	3	1	6
BRD-A19500257	516	369	484	416
BRD-A19633847	396	186	265	127
BRD-A19661776	0	2	0	0
BRD-A19736161	0	3	0	2
BRD-A19918940	6	62	6	49
BRD-A19928752	0	5	1	3
BRD-A19952358	0	2	1	5
BRD-A20119038	0	6	0	9
BRD-A20126139	0	4	0	7
BRD-A20131130	36	58	13	32
BRD-A20239487	2	6	4	9
BRD-A20243730	1	8	0	3
BRD-A20348246	0	11	0	2
BRD-A20488704	2	2	0	0
BRD-A20527803	0	3	0	6
BRD-A20589515	1	0	1	1
BRD-A20697603	443	199	557	184
BRD-A20846977	0	1	0	0
BRD-A20968261	350	131	452	165
BRD-A21072306	0	3	0	3
BRD-A21329147	2	2	1	2
BRD-A21406558	0	0	0	1
BRD-A21481508	0	2	0	1
BRD-A21584801	10	13	6	13
BRD-A21723284	0	0	0	5
BRD-A21812217	0	1	0	2
BRD-A21858158	0	5	1	2
BRD-A22032524	2	30	24	36
BRD-A22101059	0	1	0	3
BRD-A22152765	0	2	0	3
BRD-A22256192	0	1	1	6
BRD-A22305049	0	1	2	4
BRD-A22380646	0	2	0	1
BRD-A22514244	0	0	1	0
BRD-A22684332	10	46	7	19
BRD-A22707317	0	2	0	2
BRD-A22713669	86	144	83	117
BRD-A22740840	0	1	1	1
BRD-A22769835	0	0	0	2
BRD-A22783572	19	67	16	54
BRD-A22844106	2	0	0	0
BRD-A22897758	0	1	0	1
BRD-A22997170	15	13	6	23
BRD-A23072235	0	1	0	0
BRD-A23226398	0	1	0	2
BRD-A23290232	0	0	0	5
BRD-A23359898	0	6	0	1
BRD-A23637604	1	17	1	6
BRD-A23683907	0	2	0	0
BRD-A23689620	7	25	3	25
BRD-A23712469	0	4	2	6
BRD-A23723433	3	30	3	14
BRD-A23747351	2	3	3	1
BRD-A23770159	1	31	0	9
BRD-A23801136	4	6	1	21
BRD-A24021119	98	92	54	65
BRD-A24054354	0	2	1	12
BRD-A24122750	0	5	0	6
BRD-A24191444	0	1	0	2
BRD-A24228527	6	25	3	0
BRD-A24381660	1	4	0	0
BRD-A24396574	49	67	67	81
BRD-A24397426	1	4	0	3
BRD-A24421185	0	10	1	9
BRD-A24429032	0	1	0	5
BRD-A24514565	0	1	0	0
BRD-A24543851	3	4	0	1
BRD-A24643465	326	251	674	188
BRD-A24891640	0	0	1	0
BRD-A25004090	1	7	7	27
BRD-A25037258	3	2	0	0
BRD-A25088322	0	21	8	33
BRD-A25143711	3	9	1	14
BRD-A25170757	1	0	1	10
BRD-A25234499	0	2	0	0
BRD-A25337146	3	39	3	27
BRD-A25416824	1	4	1	10
BRD-A25569250	1	1	0	2
BRD-A25619068	1	1	1	0
BRD-A25687296	285	273	715	237
BRD-A25775766	0	9	0	10
BRD-A25829966	0	0	0	1
BRD-A26002865	286	185	714	177
BRD-A26032986	0	1	0	1
BRD-A26095496	0	5	0	7
BRD-A26097136	0	4	0	1
BRD-A26199074	3	32	22	38
BRD-A26334849	0	2	0	1
BRD-A26384407	1	1	1	2
BRD-A26595446	0	0	0	2
BRD-A26627799	0	2	2	1
BRD-A26711594	0	4	1	4
BRD-A26777759	0	1	0	0
BRD-A26787626	0	4	0	1
BRD-A26845397	0	1	0	2
BRD-A26962727	0	2	0	4
BRD-A27143604	0	0	0	1
BRD-A27489425	1	23	1	2
BRD-A27554692	0	10	2	7
BRD-A27640568	15	20	29	35
BRD-A27887842	0	7	1	7
BRD-A27924917	1	2	2	2
BRD-A28019035	1	4	0	2
BRD-A28105619	459	298	541	224
